Channels,FraudVideoCount,Videos,TitleFlag,TagFlag,DescriptionFlag
 , ,https://www.youtube.com/watch?v=MbpYFy_okpk,{'per': 1},{'pay': 4},"{'scam': 1, 'click': 3, 'per': 1}"
 , ,https://www.youtube.com/watch?v=wsjHwTXemJI,"{'pay': 1, 'per': 1}",{'pay': 7},"{'pay': 2, 'click': 1}"
 , ,https://www.youtube.com/watch?v=FNYHxqO0aDQ,NoFlag,{'pay': 2},NoFlag
 , ,https://www.youtube.com/watch?v=j9Mh6mBMmDE,"{'pay': 1, 'per': 1}",{'pay': 1},{'per': 1}
 , ,https://www.youtube.com/watch?v=qwEaShQOHf4,{'pay': 1},{'pay': 2},{'pay': 1}
 , ,https://www.youtube.com/watch?v=Q18vF6q4ruo,{'per': 1},{'pay': 2},{'per': 1}
 , ,https://www.youtube.com/watch?v=dbW7uShLhno,NoFlag,{'pay': 4},NoFlag
 , ,https://www.youtube.com/watch?v=PHt02CXbtSI,NoFlag,{'pay': 3},NoFlag
 , ,https://www.youtube.com/watch?v=W4jtdvRTmBA,NoFlag,{'pay': 1},"{'pay': 1, 'click': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=JaCYh5FEENk,"{'pay': 1, 'per': 1}",{'pay': 3},NoFlag
 , ,https://www.youtube.com/watch?v=rwu01R_9vyE,{'pay': 1},{'pay': 4},"{'pay': 1, 'click': 2}"
 , ,https://www.youtube.com/watch?v=ulP_LS_s5b4,NoFlag,{'pay': 5},{'pay': 3}
https://www.youtube.com/UCe7ijq60VgIkRsb9pTlYXdw,41,https://www.youtube.com/watch?v=BuYAveOXVoE,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=A-baH77eHCs,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=TrR2MUFq_ds,NoFlag,{'ad ': 3},"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=hb3KmWJAcYo,{'per': 2},{'per': 12},"{'pay': 1, 'per': 4}"
 , ,https://www.youtube.com/watch?v=o89x9REQ25s,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=sqjsivT5XbM,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=dZHz4LVUl3k,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=CEjDK9EKLOo,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=t6EFtempbKA,{'per': 1},NoFlag,"{'pay': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=YlhTHWb1eCQ,NoFlag,NoFlag,"{'pay': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=gzIY3G17e_4,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=VU_XkLvl7dc,{'per': 1},{'per': 3},"{'pay': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=XvSruuzcaHM,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=9cOl8RgO_S8,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=-FH-4IcUJ0M,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=l3fV8Muyeno,NoFlag,{'pay': 1},"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=NY6HPnRmiFA,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=yB8aSWy1DlE,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=SNptmFYRW0A,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=WbpEmp2U8JM,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=DRJbamFhzkU,NoFlag,NoFlag,"{'pay': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=VgZttuI-qV8,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=uBHYJ92FrvM,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=zC3v3Mvgokc,{'click': 2},{'click': 14},"{'pay': 1, 'click': 4, 'per': 1}"
 , ,https://www.youtube.com/watch?v=KtIxM_Pn4bs,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=Ln4Ty-CIGxg,NoFlag,NoFlag,"{'pay': 1, 'per': 1}"
